指标类别,项目,"计量
单位",集团全口径,,,主城区,,,北海汇总,,,香海,,,金州,,,北方,,,金普,,,庄河,,,研究院,,
,,,本期计划,同期完成,差异率,本期计划,同期完成,差异率,本期计划,同期完成,差异率,本期计划,同期完成,差异率,本期计划,同期完成,差异率,本期计划,同期完成,差异率,本期计划,同期完成,差异率,本期计划,同期完成,差异率,本期计划,同期完成,差异率
气温,月平均高温,℃,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月平均低温,℃,,,,,,,,,,,,,,,,,,,,,,,,,,,
设备参数,发电机组容量,万kW,,,,,,,,,,,,,,,,,,,,,,,,,,,
,燃煤锅炉装机容量,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,
,电锅炉/热泵装机容量,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,
产量,发电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,供热量↓,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,其中：1.供汽量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.高温水供热量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.低真空供热量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.低温水供热量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.电锅炉/热泵供热量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
销量,售电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,售汽量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,关联交易汽量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,关联交易高温水量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,期末挂网面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
,期末供暖收费面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.汽站面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.高温水站面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.低真空站面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.低温水供热面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.电锅炉/热泵面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
,高温水销售量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,生产耗原煤量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,其中：1.发电耗原煤量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.供热耗原煤量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,耗标煤总量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,其中：1.发电耗标煤量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.1煤折标煤耗量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.2油折标煤耗量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.供热耗标煤量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.1煤折标煤耗量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.2油折标煤耗量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,煤折标煤耗量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
